CUST_KEY,JOBPARTCHARGE,JOBLABOURCHARGE,MODEL_NEW,YEAR,AVG_MILE
10257-WEPEQ33465PR18213,184.6722727272727,210.06931818181818,3 SERIES,2005,13235.758859574767
10261-5QKKR0S54J0K99383,26.889999999999997,14.319999999999999,X5,2018,5106.7
10261-5QKVV03589LJ95971,25.705,83.725,X5,2009,14596.666666666666
10261-5QKZW0S51SL667917,151.30933333333334,80.34666666666666,X5,2012,18738.83804232804
10265-WEPEV53492KM23294,139.96666666666667,52.5,3 SERIES E46,2002,9670.5625
10293-WEKPP93414WP31037,480.0,327.8,X3,2004,15794.181818181818
10308-5QKZV4S59SL755804,255.22166666666666,147.08333333333334,X5,2012,15812.625
10308-5QKZV4S59SL757309,351.97999999999996,113.285,X5,2012,20927.0
10310-WMWRE33495TD98534,224.088125,104.815625,COOPER S 6SPD,2005,10506.389772727272
10322-WEPEQ33465PR18227,97.26999999999998,142.45000000000002,3 SERIES,2005,10667.625
103252-WEP1M1S54VV393841,27.72153846153846,37.59615384615385,235,2015,4464.846153846154
103252-WEPEK5320SES83650,0.0,162.98333333333332,3 SERIES E36,1995,6842.008255933953
10327-WEPVQ7S51ES874922,156.33,127.6,535,2011,17055.571428571428
103286-WEPWE73558P157270,173.54444444444445,194.64999999999998,335,2008,5487.990476190476
10333-WESEL93401JR11405,79.39888888888889,80.62777777777778,3 SERIES E46,2001,4894.209873459873
10336-WEKPP73415WP78381,164.06666666666666,217.78523809523807,X3,2005,12022.435145013716
10337-WESEL93414PN56889,259.8542857142857,144.2214285714286,3 SERIES E46,2004,7115.86322011322
10343-WESEL93416PN64705,41.06454545454545,101.03636363636365,3 SERIES E46,2006,3286.115702479339
10354-WMWRS33403TS44295,215.596,315.02000000000004,COOPER 1.6,2003,11246.1
10365-WMWRE33435TD98660,297.89625,159.04875,COOPER S 6SPD,2005,14847.454545454546
10367-WMWRE33455TD98613,64.5,278.0,COOPER S 6SPD,2005,13496.0
10371-WEPVQ9S54SS786962,52.7675,60.3,550,2012,23642.3125
10388-WEPKP83579SY33105,0.0,51.225,750,2009,12355.8
10392-WEP1L9S52GV325766,101.6509090909091,46.35,228,2016,4186.196969696969
10405-WEPPG7S52EP936089,35.75125,45.03125,323,2011,3927.354166666667
10405-WEPVL1S55EVR94307,40.906666666666666,35.70666666666667,X1,2014,3692.4800000000005
10412-5QKVE53515LV15229,172.84428571428572,212.5,X5,2005,10621.530612244898
10415-WEPEK73465E261004,91.62388888888889,126.97555555555556,645,2005,2445.8333333333335
10418-5QKVP13585LY14356,505.29375,114.5,X5,2005,17217.982142857145
10421-WEPEV13473KL21809,85.6657142857143,96.86,3 SERIES E46,2003,11676.523809523807
10424-WEPGN63452DR00080,163.23,479.7,760,2002,12813.291666666666
10426-WEPEV33435KN98939,105.9175,67.5,3 SERIES E46,2005,17442.923076923078
1043-5QKTY5S0KLLT37212,0.0,18.75,X3,2020,200.0
10445-4QSET53483LQ01787,41.51,52.69500000000001,Z4,2003,3312.153846153846
10452-WEPVE13516KK36825,118.11399999999999,113.84,325,2006,6618.998401598403
10454-WEPVE135K6KK36516,145.70163636363637,204.34254545454544,325,2006,15943.832212484484
10458-WEPPL5S52EP982800,193.46,204.85,335,2011,14961.625
10458-WMWSQ3S5KST262484,75.78,35.1,COOPER CLASSIC LIMITED,2012,12616.625
10464-WEPPG7S54PP794455,52.29,90.825,323,2010,17514.487857142856
10465-5QKZV8S53EL419314,64.238,60.0,X5,2011,12131.1
10474-5QKVP13525LY04616,81.44999999999999,62.8275,X5,2005,8668.555555555555
10477-WMWZE3S58EWM32265,74.1,32.12,COOPER COUNTRYMAN,2014,4779.5
10480-WEPEN33415EZ15745,86.67961538461539,116.34038461538461,3 SERIES E46,2005,8427.805633255633
10487-WESWD93588PY40419,140.84428571428572,91.22857142857143,M3,2008,9210.5
10491-WEPWL73507PK50658,190.37,59.25,335,2007,4964.5
